Nº;Nombre;NIF/CIF;Móvil;Teléfono;Email;Tipo;LOPD;Fecha Alta;Estado;;;;;;;
2;Austin Powers;156464;;633463017;info@ferrandezpina.com;CLIENTE;;10/03/2026;Alta;;;;;;;
1;nkrpvjvp jtyjtyjyty;485845156;123456123;123123123;a@a.com;CLIENTE;;10/03/2026;Alta;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;9,62E+12;;;;;642872587;642872587;642872587;642872587
;;;;;;;;;;;;;642872587;642872587;642872587;
;;;;;;;;;;;;;642872587;642872587;642872587;
;;;;;;;;;;;;;642872587;642872587;642872587;
;;;;;;;;;;;;;642872587;642872587;642872587;
;;;;;;;;;;;;;642872587;642872587;642872587;
;;;;;;;;;;;;;642872587;642872587;642872587;
;;;;;;;;;;;;;642872587;642872587;642872587;
;;;;;;;;;;;;;642872587;642872587;642872587;
;;;;;;;;;;;;;642872587;642872587;642872587;
;;;;;;;;;;;;;642872587;642872587;642872587;
;;;;;;;;;;;;;642872587;642872587;642872587;
;;;;;;;;;;;;;642872587;642872587;642872587;
;;;;;;;;;;;;;642872587;642872587;642872587;
;;;;;;;;;;;;;642872587;642872587;642872587;
;;;;;;;;;;;;;642872587;642872587;642872587;
;;;;;;;;;;;;;642872587;642872587;642872587;
;;;;;;;;;;;;;642872587;642872587;642872587;
